event_id,date_start,date_end,event_type,magnitude_indicator,direction_impact,event_name,description_es
EVT001,2019-04-01,2019-12-31,INFRAESTRUCTURA,ALTA,REDUCCION_CAPACIDAD_INTERCAMBIO,EVT001,
EVT002,2019-01-01,2019-03-31,MERCADO,MEDIA,AUMENTO_PRECIOS_ES_FR,EVT002,
EVT003,2019-06-25,2019-06-28,CLIMATICO,ALTA,AUMENTO_DEMANDA_FR,EVT003,
EVT004,2019-07-22,2019-07-26,CLIMATICO,ALTA,AUMENTO_DEMANDA_ES_FR,EVT004,
EVT005,2019-08-01,2019-09-30,MERCADO,MEDIA,CAIDA_PRECIOS_ES,EVT005,
EVT006,2020-03-14,2020-05-10,REGULATORIO,MUY_ALTA,CAIDA_DEMANDA_ES,EVT006,
EVT007,2020-04-01,2020-06-30,MERCADO,ALTA,CAIDA_PRECIOS_ES,EVT007,
EVT008,2021-01-06,2021-01-14,CLIMATICO,ALTA,AUMENTO_DEMANDA_ES,EVT008,
EVT009,2021-07-01,2021-07-31,MERCADO,ALTA,AUMENTO_PRECIOS_ES_FR,EVT009,
EVT010,2021-07-24,2021-07-24,INFRAESTRUCTURA,MUY_ALTA,CORTE_TOTAL_INTERCONEXION,EVT010,
EVT011,2021-08-01,2021-08-31,MERCADO,ALTA,AUMENTO_PRECIOS_ES_FR,EVT011,
EVT012,2021-09-01,2021-09-30,MERCADO,MUY_ALTA,AUMENTO_PRECIOS_ES_FR,EVT012,
EVT013,2021-09-14,2021-09-14,REGULATORIO,MEDIA,MODERACION_PRECIOS_ES,EVT013,
EVT014,2021-10-01,2021-10-31,MERCADO,MUY_ALTA,AUMENTO_PRECIOS_ES_FR,EVT014,
EVT015,2021-11-01,2021-11-30,MERCADO,MUY_ALTA,AUMENTO_PRECIOS_ES_FR,EVT015,
EVT016,2021-12-01,2021-12-31,MERCADO,MUY_ALTA,AUMENTO_PRECIOS_ES_FR,EVT016,
EVT017,2022-01-01,2022-12-31,INFRAESTRUCTURA,MUY_ALTA,CAIDA_PRODUCCION_FR,EVT017,
EVT018,2022-02-01,2022-02-28,MERCADO,MEDIA,AUMENTO_IMPORTACION_ES,EVT018,
EVT019,2022-02-24,2022-02-24,GEOPOLITICO,MUY_ALTA,AUMENTO_PRECIOS_ES_FR,EVT019,
EVT020,2022-03-08,2022-03-08,MERCADO,MUY_ALTA,PRECIO_MAXIMO_HISTORICO,EVT020,
EVT021,2022-05-01,2022-06-30,INFRAESTRUCTURA,ALTA,REDUCCION_CAPACIDAD_INTERCAMBIO,EVT021,
EVT022,2022-06-15,2023-12-31,REGULATORIO,MUY_ALTA,DIVERGENCIA_SPREAD_ES_FR,EVT022,
EVT023,2022-06-15,2022-09-30,MERCADO,MUY_ALTA,CONGESTION_EXPORTACION_ES_FR,EVT023,
EVT024,2022-06-01,2022-09-30,CLIMATICO,ALTA,CAIDA_PRODUCCION_FR,EVT024,
EVT025,2022-10-01,2022-10-31,LABORAL,MEDIA,CAIDA_PRODUCCION_FR,EVT025,
EVT026,2022-11-01,2022-11-30,INFRAESTRUCTURA,MUY_ALTA,CAIDA_PRODUCCION_FR,EVT026,
EVT027,2023-01-01,2023-01-31,MERCADO,MUY_ALTA,DIVERGENCIA_SPREAD_ES_FR,EVT027,
EVT028,2023-01-19,2023-03-31,LABORAL,MEDIA,CAIDA_PRODUCCION_FR,EVT028,
EVT029,2023-02-01,2023-02-28,MERCADO,ALTA,AUMENTO_PRECIOS_ES,EVT029,
EVT030,2023-07-01,2023-07-31,CLIMATICO,MEDIA,AUMENTO_DEMANDA_ES,EVT030,
EVT031,2023-07-01,2023-10-31,MERCADO,MEDIA,INVERSION_SPREAD_ES_FR,EVT031,
EVT032,2023-11-01,2023-11-30,MERCADO,ALTA,CONGESTION_EXPORTACION_ES_FR,EVT032,
EVT033,2024-01-01,2024-01-01,REGULATORIO,ALTA,CONVERGENCIA_SPREAD_ES_FR,EVT033,
EVT034,2024-01-01,2024-04-30,MERCADO,ALTA,CONGESTION_EXPORTACION_ES_FR,EVT034,
EVT035,2024-04-01,2024-04-01,MERCADO,ALTA,PRECIO_NEGATIVO_ES,EVT035,
EVT036,2024-04-20,2024-04-20,MERCADO,ALTA,PRECIO_NEGATIVO_ES,EVT036,
EVT037,2024-01-01,2024-12-31,MERCADO,MUY_ALTA,PRECIO_NEGATIVO_ES,EVT037,
EVT038,2024-01-01,2024-12-31,MERCADO,MEDIA,CONGESTION_INTERCONEXION,EVT038,
EVT039,2024-07-01,2024-09-30,INFRAESTRUCTURA,BAJA,REDUCCION_TEMPORAL_CAPACIDAD,EVT039,
EVT040,2024-02-01,2024-05-31,MERCADO,ALTA,CAIDA_PRECIOS_ES,EVT040,
