event_id,magnitude,event_type,out_of_window,detected,lag_hours,variant
EVT001,ALTA,INFRAESTRUCTURA,True,False,,V0_baseline_naranja
EVT002,MEDIA,MERCADO,True,False,,V0_baseline_naranja
EVT003,ALTA,CLIMATICO,True,False,,V0_baseline_naranja
EVT004,ALTA,CLIMATICO,True,False,,V0_baseline_naranja
EVT005,MEDIA,MERCADO,True,False,,V0_baseline_naranja
EVT006,MUY_ALTA,REGULATORIO,True,False,,V0_baseline_naranja
EVT007,ALTA,MERCADO,True,False,,V0_baseline_naranja
EVT008,ALTA,CLIMATICO,True,False,,V0_baseline_naranja
EVT009,ALTA,MERCADO,True,False,,V0_baseline_naranja
EVT010,MUY_ALTA,INFRAESTRUCTURA,True,False,,V0_baseline_naranja
EVT011,ALTA,MERCADO,True,False,,V0_baseline_naranja
EVT012,MUY_ALTA,MERCADO,True,False,,V0_baseline_naranja
EVT013,MEDIA,REGULATORIO,True,False,,V0_baseline_naranja
EVT014,MUY_ALTA,MERCADO,True,False,,V0_baseline_naranja
EVT015,MUY_ALTA,MERCADO,True,False,,V0_baseline_naranja
EVT016,MUY_ALTA,MERCADO,True,False,,V0_baseline_naranja
EVT017,MUY_ALTA,INFRAESTRUCTURA,False,True,192.0,V0_baseline_naranja
EVT018,MEDIA,MERCADO,False,True,216.0,V0_baseline_naranja
EVT019,MUY_ALTA,GEOPOLITICO,False,False,,V0_baseline_naranja
EVT020,MUY_ALTA,MERCADO,False,True,19.0,V0_baseline_naranja
EVT021,ALTA,INFRAESTRUCTURA,False,True,1023.0,V0_baseline_naranja
EVT022,MUY_ALTA,REGULATORIO,False,True,439.0,V0_baseline_naranja
EVT023,MUY_ALTA,MERCADO,False,True,439.0,V0_baseline_naranja
EVT024,ALTA,CLIMATICO,False,True,279.0,V0_baseline_naranja
EVT025,MEDIA,LABORAL,False,True,214.0,V0_baseline_naranja
EVT026,MUY_ALTA,INFRAESTRUCTURA,False,True,415.0,V0_baseline_naranja
EVT027,MUY_ALTA,MERCADO,False,True,32.0,V0_baseline_naranja
