model,block_size_h,rmse_point,rmse_ci_lo,rmse_ci_hi,rmse_boot_mean,rmse_boot_std
Modelo_A_v3,24,3.2178427670266974,2.721934825009144,3.748554768894629,3.2025827705490424,0.2573975661121126
Modelo_A_v3,168,3.2178427670266974,2.562277726429789,3.8200048663511006,3.2109435322521462,0.316678580579942
AR(1),24,3.4238188714462643,2.8630977261050163,3.986232907739142,3.406374244163472,0.2912568823075422
AR(1),168,3.4238188714462643,2.6774986462466117,4.114697003618032,3.4139391377785615,0.36692397690834827
AR(24),24,3.4272395497677337,2.8662758929230514,3.981458425887346,3.4104251490340807,0.2876055341451362
AR(24),168,3.4272395497677337,2.6939330416864165,4.105692260583619,3.418178971156399,0.3610569645806058
LASSO,24,3.393711093158763,2.835235292042689,3.941442699278578,3.376970006030941,0.2861512253193462
LASSO,168,3.393711093158763,2.6695757927099417,4.063733020700756,3.384768298643692,0.3585212293815556
M0_persist,24,5.756125348501984,4.822519257027605,6.754537973260819,5.754082831937673,0.4854882122854235
M0_persist,168,5.756125348501984,4.379872148327102,7.112354227724603,5.756372864052592,0.6927277439342988
M0b_zero,24,4.756128211253446,3.7678582999685095,5.800205349568536,4.714794704844007,0.5340296944135777
M0b_zero,168,4.756128211253446,3.3049444927939713,6.1076701902645,4.7265859487668695,0.7015891410356703
