,spread_da_lag1h,hour,spark_spread,spread_da_std24h,spread_da_lag2h,spread_da_ma168h,clean_spark_spread,spread_da_ma24h,ttf_lag168h,spread_da_lag48h,ttf_eur_mwh,co2_eur_t
spread_da_lag1h,1.0,0.0381,-0.063,0.23,0.7002,0.2072,-0.0676,0.3593,0.0635,0.1667,0.0519,0.0836
hour,0.0381,1.0,0.0826,0.0034,0.0522,-0.0001,0.083,-0.0008,0.0001,0.0261,0.0002,0.0002
spark_spread,-0.063,0.0826,1.0,-0.029,-0.048,0.0463,0.9988,0.0453,0.3574,-0.0578,0.3219,0.1411
spread_da_std24h,0.23,0.0034,-0.029,1.0,0.2507,0.3121,-0.0286,0.6169,-0.0367,0.1039,-0.0629,-0.0128
spread_da_lag2h,0.7002,0.0522,-0.048,0.2507,1.0,0.2205,-0.0525,0.4026,0.0637,0.1384,0.0519,0.0835
spread_da_ma168h,0.2072,-0.0001,0.0463,0.3121,0.2205,1.0,0.0333,0.5286,0.2259,0.2828,0.1856,0.263
clean_spark_spread,-0.0676,0.083,0.9988,-0.0286,-0.0525,0.0333,1.0,0.0365,0.3372,-0.062,0.2978,0.0917
spread_da_ma24h,0.3593,-0.0008,0.0453,0.6169,0.4026,0.5286,0.0365,1.0,0.1403,0.1527,0.1149,0.1798
ttf_lag168h,0.0635,0.0001,0.3574,-0.0367,0.0637,0.2259,0.3372,0.1403,1.0,0.0633,0.9397,0.4437
spread_da_lag48h,0.1667,0.0261,-0.0578,0.1039,0.1384,0.2828,-0.062,0.1527,0.0633,1.0,0.0511,0.0766
ttf_eur_mwh,0.0519,0.0002,0.3219,-0.0629,0.0519,0.1856,0.2978,0.1149,0.9397,0.0511,1.0,0.5171
co2_eur_t,0.0836,0.0002,0.1411,-0.0128,0.0835,0.263,0.0917,0.1798,0.4437,0.0766,0.5171,1.0
