feature,gain
run_length_prev,272834.37618255615
es_demand_fc,47900.109126508236
nuclear_ratio_fr,46292.59585428238
fr_nuclear_avail,45143.04841673374
scheduled_net_es_to_fr_mw,42215.01843440533
solar_pen_es,39307.16516005993
demand_log_ratio,38284.58036148548
es_wind_fc,37102.26124870777
wind_pen_fr,35990.393080711365
wind_pen_es,34083.71497523785
fr_wind_fc,32763.602832734585
wind_pen_asym,30760.129355072975
hour_cos,30095.674537062645
fr_demand_fc,29000.381700396538
es_solar_fc,23552.73850119114
utilization_d1,22759.511908710003
hour_sin,21870.149476110935
scheduled_abs_mw,21369.199980974197
solar_pen_fr,18427.122938275337
solar_pen_asym,17150.90175640583
dow_sin,14658.88553416729
fr_solar_fc,14645.412115812302
state_lag24,13045.244391560555
ntc_es_fr,11229.106159090996
dow_cos,10807.957599759102
ntc_fr_es,10392.660167813301
mon_sin,9897.123271644115
mon_cos,8609.557837367058
state_lag168,6366.453145623207
reg_pre_crisis,3206.4879690408707
ntc_is_observed,1790.159464597702
holiday_xor,989.5419363975525
reg_crisis_y_excepcion,418.08073592185974
holiday_fr,417.18587505817413
holiday_es,406.2262330055237
reg_post_excepcion,0.0
