week_id,n_train,decoupled_state,decoupled_state_frac,monotone
202401,42980,0,0.05667026249550521,True
202402,43148,0,0.04954707658523195,True
202403,43316,2,0.048813620720883896,True
202404,43484,2,0.054182921543129606,True
202405,43652,0,0.05311068242102725,True
202406,43820,1,0.050184464547430134,True
202407,43988,1,0.05081794437061816,True
202408,44156,1,0.06661619984859955,True
202409,44324,0,0.06108336534767576,True
202410,44492,0,0.056129081593637685,True
202411,44660,2,0.059767407625496836,True
202412,44828,0,0.16279069767441862,True
202413,44996,2,0.050488599348534204,True
202414,45140,2,0.05871044069801834,True
202415,45308,2,0.062424777340929154,True
202416,45476,1,0.049015168666515736,True
202417,45644,0,0.05945826910372165,True
202418,45788,0,0.05185309220808216,True
202419,45860,1,0.05310311125590487,True
202420,46028,0,0.04951661186631987,True
202421,46196,1,0.049978802581374535,True
202422,46364,2,0.04934705184012663,True
202423,46532,2,0.06652136006974717,True
202424,46700,0,0.057695921819206915,True
202425,46868,1,0.07334416903697684,True
202426,47036,2,0.049959330450789846,True
202427,47204,0,0.055953856934936125,True
202428,47372,2,0.058725122584366886,True
202429,47540,2,0.058355006501950586,True
202430,47708,2,0.06450556647020302,True
202431,47876,0,0.07767857142857143,True
202432,48044,1,0.06953887082471179,True
202433,48212,2,0.05368132608597997,True
202434,48380,2,0.05421835615084268,True
202435,48548,1,0.06703084832904885,True
202436,48716,1,0.058535733007164074,True
202437,48884,2,0.06423927178153446,True
202438,49052,1,0.11066089143495879,True
202439,49220,0,0.1048079369117273,True
202440,49388,2,0.05438588513482789,True
202441,49556,0,0.07334072548709013,True
202442,49724,0,0.05375411033978809,True
202443,49892,1,0.05585507871468622,True
202444,50036,2,0.11048318734105679,True
202445,50203,1,0.05879371515458692,True
202446,50371,0,0.06981038278531354,True
202447,50539,2,0.05190695380568798,True
202448,50707,0,0.05560024606066342,True
202449,50875,2,0.05454164044472414,True
202450,51043,2,0.05374776050997875,True
202451,51211,0,0.05322255583432731,True
202452,51379,2,0.05460437010115164,True
