feature,gain
run_length_prev,289449.0445102453
es_demand_fc,57242.65639835596
nuclear_ratio_fr,51759.945418179035
fr_nuclear_avail,51592.78179472685
demand_log_ratio,46175.00338149071
wind_pen_es,38952.896557450294
fr_demand_fc,37812.46699607372
es_wind_fc,36556.422631680965
wind_pen_fr,36548.765979766846
hour_cos,35106.577424526215
wind_pen_asym,33919.181441783905
fr_wind_fc,33114.01379740238
solar_pen_es,32090.30219435692
solar_pen_fr,30973.158821880817
solar_pen_asym,27696.360455334187
hour_sin,24958.193623423576
es_solar_fc,20809.962391614914
fr_solar_fc,17490.00935447216
dow_sin,17448.555700421333
state_lag24,15778.403472304344
ntc_es_fr,11784.559201955795
ntc_fr_es,11608.914886832237
mon_cos,10399.876552343369
mon_sin,10333.305390000343
dow_cos,9852.2395657897
state_lag168,6319.960805654526
holiday_xor,3452.0720858573914
reg_pre_crisis,1946.400011062622
ntc_is_observed,1274.7748544216156
holiday_fr,863.1516672372818
holiday_es,399.3304657936096
reg_crisis_y_excepcion,396.0709955692291
reg_post_excepcion,0.0
