set,kind,n_feats,rmse,pinball_q95
BASE,v3-mean,26,3.416101360131671,0.4709792353573308
BASE,v4-quant,26,5.381104425386921,0.2316210803868913
BASE+REN,v3-mean,30,3.700079185638108,0.46695910112131134
BASE+REN,v4-quant,30,6.274170146929226,0.2501729938568925
BASE+ND,v3-mean,29,3.5326067778237062,0.5320552570185856
BASE+ND,v4-quant,29,5.601848389144656,0.27647819155917425
BASE+ALL,v3-mean,33,3.7919251841017587,0.4705618119677225
BASE+ALL,v4-quant,33,6.127139739538861,0.2654860869211681
AR(1),benchmark,1,3.4651478777863454,0.33446462944907623
AR(24),benchmark,24,3.4832810213429624,0.38450716119629286
